srno,topic,type,question,option1,option2,option3,option4,correct_option_text,as_response,preethi ma'am response_as,mg_response,preethi ma'am response_mg,correct_option,predictions
2523,Obsessive/Compulsive Disorders,Preventive,Which traits of mindfulness may help individuals experience less distress from obsessive intrusive thoughts?,High awareness,Isolation,Critical thinking,Nonreactivity and acceptance,Nonreactivity and acceptance,Y,Y,Y,Y,4,2
2524,Obsessive/Compulsive Disorders,Preventive,What cognitive process has been identified as a mechanism to target in treatments for perfectionism-related disorders?,General negativity interpretation,Cognitive dissonance,Biased interpretation of ambiguity,Emotional regulation training,Biased interpretation of ambiguity,Y,Y,Y,Y,3,3
2525,Obsessive/Compulsive Disorders,Factoid,Which brain region showed significantly smaller gray matter volumes in juvenile OCD patients compared to healthy controls?,Orbitofrontal Cortex,Thalamus,Left Superior Parietal Lobule,Left Anterior Cingulate Cortex,Left Anterior Cingulate Cortex,Y,Y,Y,Y,4,1
2526,Obsessive/Compulsive Disorders,Diagnostic,What aspect of cognitive functioning is suggested to be impacted in pediatric patients with obsessive-compulsive and related disorders?,Decision-making processes,Emotional regulation,Memory recall,Cognitive flexibility,Cognitive flexibility,Y,Y,Y,Y,4,3
2527,Obsessive/Compulsive Disorders,Diagnostic,What personality trait is investigated as a possible risk factor for familial obsessive-compulsive disorder?,emotional instability,harm avoidance,impulsivity,social anxiety,harm avoidance,Y,Y,Y,Y,2,1
2528,Obsessive/Compulsive Disorders,Diagnostic,What does the meta-analysis suggest regarding confidence in cognitive processes among individuals with obsessive-compulsive disorder?,They have similar confidence levels as controls,Their memory is superior to healthy individuals,Confidence impacts treatment adherence significantly,They show under-confidence in their cognitive abilities,They show under-confidence in their cognitive abilities,Y,Y,Y,Y,4,3
2529,Obsessive/Compulsive Disorders,Prognostic,Which specific OCD symptom subtype is significantly predicted by initial levels of disgust proneness?,Hoarding symptoms,Washing symptoms,Obsessing symptoms,Ordering symptoms,Washing symptoms,Y,Y,Y,Y,2,3
2530,Obsessive/Compulsive Disorders,Diagnostic,What cognitive process is hypothesized to be related to disturbances in metacognition associated with higher-order circuits?,Decision confidence,Emotional regulation,Attention control,Cognitive dissonance,Decision confidence,Y,Y,Y,Y,1,2
2531,Obsessive/Compulsive Disorders,Factoid,What is the primary symptom assessed by the Hoarding Rating Scale-Self-Report?,Repetitive thoughts,Hoarding excessive clutter,Compulsive checking,Social withdrawal,Hoarding excessive clutter,Y,Y,Y,Y,2,1
2532,Obsessive/Compulsive Disorders,Factoid,What treatment was evaluated for its efficacy in reducing obsessive compulsive symptoms in children with pediatric acute-onset neuropsychiatric syndrome?,Intravenous Immunoglobulin,Antidepressant Medications,Cognitive Behavioral Therapy,Psychodynamic Therapy,Intravenous Immunoglobulin,Y,Y,Y,Y,1,4
2533,Obsessive/Compulsive Disorders,Diagnostic,"Which psychological phenomenon, associated with perfectionism, is linked to both Body Dysmorphic Disorder (BDD) and Obsessive-Compulsive Disorder (OCD)?",Perceptual distortion,Not just right experiences,Defensive avoidance,Compensatory behaviors,Not just right experiences,Y,Y,Y,Y,2,2
2534,Obsessive/Compulsive Disorders,Diagnostic,Which comorbid conditions are associated with increased risk of suicidality in patients with obsessive-compulsive disorder?,Major depressive disorder and PTSD,Anxiety disorders only,Attention deficit disorder,Substance use disorders only,Major depressive disorder and PTSD,Y,Y,Y,Y,1,1
2535,Obsessive/Compulsive Disorders,Diagnostic,What is identified as a significant predictor of suicide attempt in patients with obsessive-compulsive disorder?,Low medication adherence,Understanding of the disorder,High levels of neuroticism,Previous suicide planning,Previous suicide planning,Y,Y,Y,Y,4,4
2536,Obsessive/Compulsive Disorders,Prognostic,What type of treatment is considered for patients with OCD that is resistant to conventional therapies?,Electroconvulsive therapy,Psychoanalysis,Deep brain stimulation,Transcranial magnetic stimulation,Deep brain stimulation,Y,Y,Y,Y,3,1
2537,Obsessive/Compulsive Disorders,Prognostic,"How do glutamatergic agents affect the treatment of OCD, especially in treatment-resistant cases?",They worsen symptoms,They have no effect,They are only effective in non-resistant cases,They are effective as add-on treatment,They are effective as add-on treatment,Y,Y,Y,Y,4,1
2538,Obsessive/Compulsive Disorders,Factoid,Which neurochemical marker showed a significant increase in children with OCD compared to healthy controls?,N-acetyl-aspartate,Choline,Glutamate,Creatine,N-acetyl-aspartate,Y,Y,Y,Y,1,1
2539,Obsessive/Compulsive Disorders,Diagnostic,What existential problem is associated with obsessive doubting that can lead to pathological dimensions in patients?," ""Doubting one's intelligence""",Doubting one's perceptions," ""Doubting one's social skills"""," ""Doubting one's physical strength""",Doubting one's perceptions,Y,Y,Y,Y,2,2
2540,Obsessive/Compulsive Disorders,Diagnostic,What structural and functional white matter characteristics are associated with obsessive-compulsive disorder in comparison to healthy controls?,Increased fractional anisotropy and functional connectivity,Lower fractional anisotropy and decreased functional connectivity,Normal structural integrity and average functional connectivity,Hyperconnectivity in all brain regions,Lower fractional anisotropy and decreased functional connectivity,Y,Y,Y,Y,2,4
2541,Obsessive/Compulsive Disorders,Diagnostic,"What cognitive mechanism is suggested to be impaired in OCD patients, affecting their response to Pavlovian cues?",Contextual information utilization,Visual recognition skills,Memory recall capacity,Auditory processing ability,Contextual information utilization,Y,Y,Y,Y,1,3
2542,Obsessive/Compulsive Disorders,Diagnostic,What brain region is suggested to be associated with the onset of secondary obsessive-compulsive disorder (OCD) in a patient after tumor resection?,Right frontal lobe,Brainstem,Occipital lobe,Left temporal lobe,Right frontal lobe,Y,Y,Y,Y,1,1
2543,Obsessive/Compulsive Disorders,Factoid,What are the two motivational dimensions assessed by the Obsessive-Compulsive Trait Core Dimensions Questionnaire (OCTCDQ)?,"Perfectionism, harm avoidance","Fear of contamination, anxiety","Anxiety, incompleteness","Harm avoidance, incompleteness","Harm avoidance, incompleteness",Y,Y,Y,Y,4,2
2544,Obsessive/Compulsive Disorders,Preventive,What factor is related to improved prognosis following deep brain stimulation in patients with refractory Tourette syndrome?,Higher gender ratio of males,Greater severity of symptoms,Longer disease duration,Younger patient age,Younger patient age,Y,Y,Y,Y,4,3
2545,Obsessive/Compulsive Disorders,Diagnostic,What psychological factors are associated with eating behavior regulation in overweight women?,Family support systems,Increased exercise frequency,Positive self-reinforcement,Shame and self-criticism,Shame and self-criticism,Y,Y,Y,Y,4,1
2546,Obsessive/Compulsive Disorders,Diagnostic,What potential underlying mechanism is suggested for the connection between intense imagery movements and maladaptive daydreaming?,Genetic predisposition,Neurochemical imbalance,Emotional regulation through sensory seeking,Psychosocial stressors,Emotional regulation through sensory seeking,Y,Y,Y,Y,3,1
2547,Obsessive/Compulsive Disorders,Prognostic,What potential treatment approach for obsessive-compulsive disorder is suggested by the modification of the microbiota-gut-brain axis?,Mindfulness-based interventions,SSRIs,Gut microbiota-directed therapeutics,Cognitive behavioural therapy,Gut microbiota-directed therapeutics,Y,Y,Y,Y,3,2
2548,Obsessive/Compulsive Disorders,Preventive,How can the use of intranasal oxytocin potentially impact emotion attributions in individuals with body dysmorphic disorder?,Increase internal attributions,Improve emotion recognition,Reduce self-blame,Decrease social cognition impairments,Increase internal attributions,Y,Y,Y,Y,1,2
2549,Obsessive/Compulsive Disorders,Prognostic,What could be a potential outcome for patients with obsessive-compulsive symptoms (OCS) in schizophrenia who exhibit higher functioning?,Improved quality of life,Increased negative symptoms,Decreased cognitive ability,Worsened social relationships,Improved quality of life,Y,Y,Y,Y,1,4
2550,Obsessive/Compulsive Disorders,Diagnostic,"What diagnostic model does ICD-11 use for obsessive-compulsive personality disorder, distinguishing it from DSM-5?",Categorical,Substance-related,Dimensional,Trait-based,Dimensional,Y,Y,Y,Y,3,2
2551,Obsessive/Compulsive Disorders,Preventive,What treatment may be considered for individuals with coprophagia associated with psychotic symptoms?,Mood Stabilizers,Cognitive Behavioral Therapy,Cariprazine,Antidepressants,Cariprazine,Y,Y,Y,Y,3,1
2552,Obsessive/Compulsive Disorders,Diagnostic,What cognitive-affective symptom was primarily associated with distinguishing subgroups in individuals diagnosed with Intermittent Explosive Disorder?,Anxiety levels,Social support,Emotion dysregulation,Impulse control,Emotion dysregulation,Y,Y,Y,Y,3,4
2553,Obsessive/Compulsive Disorders,Preventive,What advantage does magnetic resonance-guided focused ultrasound capsulotomy offer in treating treatment-resistant psychiatric disorders?,Higher efficacy than traditional surgery,Reduced hospitalization time,Improved safety and real-time imaging,Lower cost of the procedure,Improved safety and real-time imaging,Y,Y,Y,Y,3,1
2554,Obsessive/Compulsive Disorders,Preventive,What type of therapy may effectively augment treatment for children who are non-responsive to initial pharmacological treatments for obsessive-compulsive disorder?,Cognitive-Behavioral Therapy,Psychoeducation,Family Therapy,Medication Adjustment,Cognitive-Behavioral Therapy,Y,Y,Y,Y,1,4
2555,Obsessive/Compulsive Disorders,Factoid,Which psychological scale was used to evaluate obsessive-compulsive symptoms in patients diagnosed with OCD?,Beck Depression Inventory,Metacognition Scale,Yale-Brown Obsession and Compulsion Scale,Beck Anxiety Inventory,Yale-Brown Obsession and Compulsion Scale,Y,Y,Y,Y,3,4
2556,Obsessive/Compulsive Disorders,Factoid,Which subtype of obsessive-compulsive disorder was associated with higher severity of anxiety and depression symptoms?,Childhood-onset type OCD,Autogenous type OCD,Cognitive-behavioral type OCD,Reactive type OCD,Autogenous type OCD,Y,Y,Y,Y,2,4
2557,Obsessive/Compulsive Disorders,Diagnostic,Which neuropsychological impairment was significantly correlated with poor insight in individuals with obsessive-compulsive disorder?,Memory recall tasks,Attention span tasks,Conflict resolution tasks,Visual perception tasks,Conflict resolution tasks,Y,Y,Y,Y,3,4
2558,Obsessive/Compulsive Disorders,Prognostic,How do taboo obsessions contribute to the risk of suicidality among individuals with obsessive-compulsive disorder?,By increasing the use of therapeutic interventions,By reducing the severity of OCD,By decreasing social support,By acting as an independent risk factor,By acting as an independent risk factor,Y,Y,Y,Y,4,2
2559,Obsessive/Compulsive Disorders,Diagnostic,What seasonal trend was identified in the birth rates of patients with obsessive-compulsive disorder compared to the general population?,Higher births in winter,Lower births from March to July,No seasonal effect,Equal births year-round,Lower births from March to July,Y,Y,Y,Y,2,4
2560,Obsessive/Compulsive Disorders,Prognostic,Which factor has been shown to significantly enhance treatment outcomes for patients undergoing therapy for obsessive-compulsive disorder (OCD)?,Duration of illness,Age of onset,Higher social support,Gender,Higher social support,Y,Y,Y,Y,3,2
2561,Obsessive/Compulsive Disorders,Factoid,Which targeting approach in deep brain stimulation was associated with fewer adverse effects in treating refractory obsessive-compulsive disorder?,Anatomical Landmark-Based Targeting,Transcranial Magnetic Stimulation,Connectomic Tractography-Based Targeting,Electroconvulsive Therapy,Connectomic Tractography-Based Targeting,Y,Y,Y,Y,3,1
2562,Obsessive/Compulsive Disorders,Prognostic,How might the telephone delivery of cognitive-behavioral therapy (CBT) impact accessibility for young people with obsessive-compulsive disorder?,It could significantly improve access,It would have no impact,It may worsen accessibility,It could lead to lower treatment satisfaction,It could significantly improve access,Y,Y,Y,Y,1,1
