id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number,predictions
36060710,Obsessive/Compulsive Disorders,Prognostic,Which symptom dimension in pediatric OCD is associated with a less favorable response to serotonin reuptake inhibitors?,Contamination/cleaning,Harm/sexual,All dimensions equally,Symmetry/hoarding,Symmetry/hoarding,4,1.0
10980239,Obsessive/Compulsive Disorders,Prognostic,What neurotransmitter's excessive output is predicted to elicit symptoms in human Tourette's syndrome and obsessive-compulsive disorder?,Serotonin,Glutamate,Dopamine,Norepinephrine,Dopamine,3,1.0
21842984,Obsessive/Compulsive Disorders,Prognostic,Which aspect of perfectionism is identified as a vulnerability factor that may lead to binge eating?,High achievement motivation,Self-efficacy beliefs,Concern over mistakes,Perceived social approval,Concern over mistakes,3,2.0
31546148,Obsessive/Compulsive Disorders,Diagnostic,What disorder showed a greater diagnostic overlap with excoriation disorder compared to gambling disorder?,Body dysmorphic disorder,Post-traumatic stress disorder,Obsessive-compulsive disorder,Generalized anxiety disorder,Obsessive-compulsive disorder,3,4.0
27822492,Obsessive/Compulsive Disorders,Prognostic,How might changes in serum nitric oxide levels during SSRI therapy correlate with clinical improvement in obsessive-compulsive disorder patients?,Decreased NO indicates good response,Increased NO indicates poor response,NO levels fluctuate randomly,NO levels have no correlation,Decreased NO indicates good response,1,1.0
24567889,Obsessive/Compulsive Disorders,Preventive,"What practice is associated with increased recurrence of unpleasant thoughts, potentially contributing to obsessive-compulsive behavior?",Thought suppression,Positive reinforcement,Thought monitoring,Cognitive restructuring,Thought suppression,1,2.0
27541572,Obsessive/Compulsive Disorders,Diagnostic,What psychological trait was studied for its potential impact on the relationship between cognitive functioning and obsessive-compulsive symptoms in older adults?,Memory recall,Stress management,Emotional intelligence,Cognitive self-consciousness,Cognitive self-consciousness,4,1.0
25748645,Obsessive/Compulsive Disorders,Preventive,Which neutralizing strategy is reported to be associated with higher distress and interference in OCD patients?,Ritualized strategies,Behavioral strategies,Pharmacological strategies,Covert strategies,Covert strategies,4,4.0
26233564,Obsessive/Compulsive Disorders,Diagnostic,Which personality trait is hypothesized to predispose individuals with primary restless legs syndrome to display obsessive-compulsive symptoms?,Novelty seeking,Impulsivity,Harm avoidance,Reward dependence,Harm avoidance,3,1.0
31001986,Obsessive/Compulsive Disorders,Diagnostic,Which factors are significant predictors for the emergence of compulsive problem behaviors in young adults?,Substance abuse history,Peer group influences,Low educational attainment,Prior compulsive traits,Prior compulsive traits,4,2.0
34089924,Obsessive/Compulsive Disorders,Preventive,Which factor is most associated with remission rates in patients undergoing exposure and ritual prevention therapy for OCD?,Age of diagnosis,Duration of therapy,Type of medication used,Patient homework adherence,Patient homework adherence,4,3.0
23764406,Obsessive/Compulsive Disorders,Factoid,What brain area has been identified as relevant to both schizophrenia and obsessive-compulsive disorder during working memory tasks?,Left temporoparietal junction,Left amygdala,Right occipital lobe,Right dorsolateral prefrontal cortex,Right dorsolateral prefrontal cortex,4,1.0
20634421,Obsessive/Compulsive Disorders,Factoid,"Which factor structure does the Obsessive Beliefs Questionnaire, commonly used in OCD, exhibit?",Three-factor solution,Four-factor solution,Two-factor solution,Single-factor solution,Four-factor solution,2,4.0
15812606,Obsessive/Compulsive Disorders,Preventive,What treatment combination showed significant long-term improvement in patients with obsessive-compulsive disorder (OCD)?,Exposure therapy alone,Cognitive-behavioral therapy and fluvoxamine,Mindfulness and medication,Placebo and therapy,Cognitive-behavioral therapy and fluvoxamine,2,3.0
18496480,Obsessive/Compulsive Disorders,Diagnostic,"What subjective experiences, often reported in obsessive-compulsive disorder, indicate important phenotypic variables that may aid in identifying different patient subgroups?",Anxiety levels,Neurotic traits,Sensory phenomena,Sleep patterns,Sensory phenomena,3,1.0
34875511,Obsessive/Compulsive Disorders,Prognostic,How might the specific clinical phenotype of obsessive-compulsive disorder (OCD) inform early intervention strategies?,By identifying environmental triggers,By enhancing pharmacological options,By increasing therapy frequency,By targeting comorbid conditions,By targeting comorbid conditions,4,1.0
19840596,Obsessive/Compulsive Disorders,Preventive,Which personality trait is associated with higher severity of obsessive-compulsive symptoms in patients with obsessive-compulsive disorder?,Cooperativeness,Harm avoidance,Reward dependence,Self-directedness,Harm avoidance,2,1.0
23056985,Obsessive/Compulsive Disorders,Diagnostic,"What underlying conditions may blur the distinctions between anxiety, mood, and psychotic disorders in patients with obsessive-compulsive symptoms?",Post-traumatic stress disorder,Bipolar disorder,Schizo-obsessive disorder,Schizophrenia,Schizo-obsessive disorder,3,3.0
22672898,Obsessive/Compulsive Disorders,Factoid,What does the validation of the Chinese version of the Obsessive-Compulsive Inventory-Revised (CH-OCI) allow researchers to better assess in Mandarin-speaking populations?,Cultural differences in OCD,General mental health status,OCD severity and heterogeneity,Anxiety severity,OCD severity and heterogeneity,3,1.0
23810510,Obsessive/Compulsive Disorders,Prognostic,What impact do obsessive-compulsive symptoms have on cognitive functions in patients with schizophrenia?,They improve social cognition,They have no significant impact,They worsen executive functions,They enhance cognitive functions,They worsen executive functions,3,4.0
15301906,Obsessive/Compulsive Disorders,Prognostic,What risk is associated with patients who present with Sydenham's chorea during follow-up?,Risk of developing cardiovascular diseases,Risk of developing diabetes,Risk of developing neuropsychiatric disorders,Risk of developing autoimmune disorders,Risk of developing neuropsychiatric disorders,3,3.0
34930090,Anxiety,Preventive,"What strategies may help limit the risks associated with the withdrawal of pregabalin, particularly concerning anxiety?",Increased dosage,Immediate cessation,Single medication therapy,Gradual dosage reduction,Gradual dosage reduction,4,2.0
22767410,Anxiety,Factoid,Which type of therapy was compared to transdiagnostic cognitive-behavioral therapy in the treatment of anxiety disorders?,Medication therapy,Diagnosis-specific cognitive-behavioral therapy,Relaxation-based therapy,Psychoanalytic therapy,Diagnosis-specific cognitive-behavioral therapy,2,4.0
21570259,Anxiety,Diagnostic,Which factor was associated with denial of illness and treatment needs in first-time admitted psychiatric patients?,Psychoticism,Depression,Anxiety and affective disorders,History of hospitalization,Psychoticism,1,1.0
36285161,Anxiety,Diagnostic,What are the primary influencing factors identified for anxiety and depression in patients with arrhythmias?,Age,Lifestyle Factors,Body Mass Index,Gender,Age,1,1.0
34484002,Anxiety,Diagnostic,Which psychosocial factors have been associated with internet overdependence among Malaysian youths?,Anxiety and depression,High academic performance,Regular exercise,Strong social connections,Anxiety and depression,1,1.0
35666583,Obsessive/Compulsive Disorders,Diagnostic,What factor is positively correlated with compulsive exercise behaviors among physically active adults?,Age,Gender,Body image dissatisfaction,Type of exercise,Body image dissatisfaction,3,1.0
33788170,Anxiety,Preventive,What psychological support strategies could benefit long-term survivors of metastatic non-small cell lung cancer treated with novel therapies due to their experiences of uncertainty?,Increased social activities,Education on disease progression,Medication management,Physical therapy,Education on disease progression,2,3.0
22429207,Anxiety,Diagnostic,Which dimension of anger was most strongly associated with the diagnosis of Generalized Anxiety Disorder (GAD)?,Internalized anger control,Trait anger,Externalized anger expression,Hostility,Trait anger,2,3.0
34043112,Anxiety,Factoid,"Which factor is indicated to predict higher composite somatic, anxiety, and depressive symptoms in Latinx immigrants?",Acculturation,Legal Status,Marital Status,Income,Acculturation,1,1.0
34633720,Anxiety,Preventive,What key feature of care is emphasized as essential for achieving positive outcomes in crisis intervention services?,Genuine care from staff,Structured therapy sessions,Individualized treatment plans,High operational efficiency,Genuine care from staff,1,3.0
35796920,Anxiety,Diagnostic,What condition appears to be exacerbated by THC/CBD combination treatments in predisposed patients?,Cardiovascular diseases,Psychosis,Chronic fatigue syndrome,Migraines,Psychosis,2,4.0
35013658,Anxiety,Diagnostic,What psychological factor mediates the relationship between psychological maltreatment and death obsession during the COVID-19 pandemic?,Coping flexibility,Social isolation,Physical health stress,Fear of contagion,Coping flexibility,1,1.0
34150178,Anxiety,Preventive,What method of patient care has been shown to significantly reduce anxiety and improve quality of life in patients with dysfunctional uterine bleeding?,Routine Observation,Standard Follow-Up Care,Emergency Intervention,Systematic Nursing,Systematic Nursing,4,4.0
35934937,Anxiety,Prognostic,How might obesity impact sexual function and well-being in women experiencing infertility?,Enhance hormonal balance,Increase psychological distress,Improve sexual satisfaction,Reduce fertility,Increase psychological distress,2,1.0
28250802,Anxiety,Diagnostic,Which psychological factors were reliably linked to insomnia among older adults experiencing pain?,Social isolation,Anxiety and depression,Chronic stress,Substance abuse,Anxiety and depression,2,1.0
22122779,Obsessive/Compulsive Disorders,Diagnostic,What is associated with the heightened stress response observed in postpartum women diagnosed with obsessive-compulsive disorder?,Reduced brain blood flow,Altered endocrine factors,Increased physical activity,Lower cortisol levels,Altered endocrine factors,2,1.0
